"Fips_Code","County","Cox","Moore","Lashar","Wallace","Harding","Write-ins","total_votes","moore_total_votes","moore_percentage"
24001,"Allegany",13833,6390,279,143,267,0,20912,993336,30.5566182096404
24003,"Anne Arundel",72806,83643,3446,948,1247,0,162090,993336,51.6028132518971
24510,"Baltimore City",11140,107563,1237,1180,1391,0,122511,993336,87.7986466521374
24005,"Baltimore County",76242,117356,3636,1482,2200,0,200916,993336,58.4104800015927
24009,"Calvert",18447,14236,504,142,242,0,33571,993336,42.4056477316732
24011,"Caroline",6727,3276,176,56,140,0,10375,993336,31.5759036144578
24013,"Carroll",38969,25155,1515,436,561,0,66636,993336,37.7498649378714
24015,"Cecil",18159,8691,472,155,311,0,27788,993336,31.2760903987333
24017,"Charles",15096,33633,408,283,414,0,49834,993336,67.4900670225148
24019,"Dorchester",6169,4341,139,69,157,0,10875,993336,39.9172413793103
24021,"Frederick",40178,38581,1456,468,606,0,81289,993336,47.461526159751
24023,"Garrett",8195,2402,194,52,138,0,10981,993336,21.8741462526182
24025,"Harford",51065,38139,1948,598,886,0,92636,993336,41.1708191199965
24027,"Howard",33110,83690,2464,802,713,0,120779,993336,69.2918470926237
24029,"Kent",3718,4256,106,56,93,0,8229,993336,51.7195284967797
24031,"Montgomery",54968,191695,3013,2146,1551,0,253373,993336,75.6572326175244
24033,"Prince George's",16903,161692,999,1593,1888,0,183075,993336,88.320087395876
24035,"Queen Anne's",12840,8577,416,120,212,0,22165,993336,38.6961425671103
24037,"Saint Mary's",20279,13291,661,253,346,0,34830,993336,38.1596325007178
24039,"Somerset",3974,2254,67,46,81,0,6422,993336,35.0981002802865
24041,"Talbot",7497,7989,289,70,128,0,15973,993336,50.0156514117573
24043,"Washington",26943,15723,614,252,472,0,44004,993336,35.7308426506681
24045,"Wicomico",14612,12213,388,171,358,0,27742,993336,44.023502270925
24047,"Worcester",13433,8550,273,121,161,0,22538,993336,37.9359304286095
